CL,CD,aoa
-0.2864003186119339,0.1009398329214029,-12.65
-0.21738813703381,0.0697803359355291,-7.15
0.0006532994842932,0.0445402356130077,-3.0
0.069550875360261,0.0534713664548619,-2.25
0.462192881971421,0.0455666472762804,2.35
0.5980593303034586,0.067256260383345,4.75
0.7414194955025194,0.0843443970590828,6.75
0.883267958180744,0.1027663072461692,8.8
0.9241863528125632,0.1795299977041606,10.95
0.9117130394654936,0.1975072551875458,11.95
0.9507540742778954,0.218774052900757,12.8
0.953396592026696,0.2373545849834544,14.0
1.0204784140321863,0.2571805013318062,15.75
1.0688227395284429,0.3317025339829104,17.85
1.0233362442741918,0.3749037173980721,19.75
1.004097190797162,0.4426589644964905,22.55
0.9819599174913504,0.4583177371538759,24.0
