CL,CD,aoa
1.065615600448713,0.11384465869513419,-10.0
1.0653522080687556,0.11415752083729869,-8.0
1.0649574364761554,0.114371947986298,-6.0
1.064427146801296,0.11448514427759937,-4.0
1.063757719975702,0.11449457419726033,-2.0
1.0629460852615489,0.1143979908049866,0.0
1.0619897438552426,0.11419346219279045,2.0
1.0608867763733536,0.11387939403043083,4.0
1.059635904412185,0.11345455770974325,6.0
1.058236422094359,0.11291809760078943,8.0
1.0566883018857394,0.11226956049485394,10.0
1.0549921026849436,0.11150889322409564,12.0
1.053149083718009,0.11063646754675721,14.0
1.0511611178687104,0.10965307137645917,16.0
1.0490307397133032,0.1085599165754056,18.0
1.0467611922377429,0.10735864293763732,20.0
1.044356412843258,0.10605130845125108,21.999999999999996
1.0418210013211644,0.10464037204579554,24.0
1.0391603649661276,0.10312869952573375,25.999999999999996
1.0363806133694125,0.10151952475019788,28.0
